Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-santeon.careplan.ig.json	5045	-	0	0	0	0	0	0	12	129	0	0	0	0	0	0	0	1	0	0	0	110	141	0	0	0	3	0	1
fsh-generated/resources/CapabilityStatement-SanteonCarePlanCapabilityStatement.json	1789	3	0	0	1	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	26	52	0	0	0	1	0	0
fsh-generated/resources/CarePlan-SanteonCarePlanExample.json	487	2	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	10	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-deidentification-action-cs.json	1141	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	16	126	0	0	0	0	0	0
fsh-generated/resources/Patient-ExamplePatient.json	194	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-deidentification-ruleset.json	8997	3	0	17	0	0	0	0	0	392	0	0	0	0	0	0	0	0	0	0	0	122	801	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-santeon-careplan.json	9935	4	0	68	0	0	0	0	1	179	0	0	1	0	0	0	0	2	0	0	0	334	656	0	0	0	13	0	1
fsh-generated/resources/ValueSet-deidentification-action-vs.json	506	1	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	11	118	0	0	0	1	0	0
/fsh-generated/resources/Binary-santeon-default.json	816	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
/input/includes/menu.xml	275	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/mappings-table-styling.html	1215	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/mappings-styling.html	1190	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	531	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/profiles.md	102	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/deidentification.md	32499	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
/input/pagecontent/lineage.md	1256	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/index.md	165	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	216	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
/temp/pages/_includes/fragment-artifacts-table.html	3362	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
